Sample	Lib	File	Read	Path
Anzick	LibA	SRR1038483	R1	/scratch/earang/ancient_data/
Anzick	LibB	SRR1039553	R1	/scratch/earang/ancient_data/
Anzick	LibC	SRR1039554	R1	/scratch/earang/ancient_data/
Anzick	LibD	SRR1039555	R1	/scratch/earang/ancient_data/
Anzick	LibE	SRR1039556	R1	/scratch/earang/ancient_data/
Anzick	LibF	SRR1039557	R1	/scratch/earang/ancient_data/
Anzick	LibG	SRR1039558	R1	/scratch/earang/ancient_data/
Anzick	LibH	SRR1039559	R1	/scratch/earang/ancient_data/
Anzick	LibI	SRR1039560	R1	/scratch/earang/ancient_data/
Anzick	LibJ	SRR1039561	R1	/scratch/earang/ancient_data/
Anzick	LibK	SRR1039562	R1	/scratch/earang/ancient_data/
Anzick	LibL	SRR1039563	R1	/scratch/earang/ancient_data/
Anzick	LibM	SRR1039564	R1	/scratch/earang/ancient_data/
Anzick	LibN	SRR1039565	R1	/scratch/earang/ancient_data/
Anzick	LibO	SRR1039566	R1	/scratch/earang/ancient_data/
Anzick	LibP	SRR1039567	R1	/scratch/earang/ancient_data/
Anzick	LibQ	SRR1039568	R1	/scratch/earang/ancient_data/
Anzick	LibR	SRR1039569	R1	/scratch/earang/ancient_data/
Anzick	LibP	SRR1039567	R1	/scratch/earang/ancient_data/
USR1	LibA	ERR2231566	R1	/scratch/earang/ancient_data/
Ayayema	LibA	ERR2868039	R1	/scratch/earang/ancient_data/
Sumidouro5	LibA	ERR2868043	R1	/scratch/earang/ancient_data/
SpiritCave	LibA	ERR2868049	R1	/scratch/earang/ancient_data/
Yamana	LibA	ERR2270785	R1	/scratch/earang/ancient_data/
